correct_uris,Value
Q5838,Kabul
Q19689,Tirana
Q3561,Algiers
Q1863,Andorra la Vella
Q3897,Luanda
Q36262,St. John's
Q1486,Buenos Aires
Q1953,Yerevan
Q3114,Canberra
Q1741,Vienna
Q9248,Baku
Q2467,Nassau
Q3882,Manama
Q1354,Dhaka
Q36168,Bridgetown
Q2280,Minsk
Q239,Brussels
Q3043,Belmopan
Q3799,Porto-Novo
Q9270,Thimphu
Q1491,La Paz
Q2907,Sucre
Q11194,Sarajevo
Q3919,Gaborone
Q2844,Brasília
Q9279,Bandar Seri Begawan
Q472,Sofia
Q3777,Ouagadougou
Q167551,Gitega
Q1850,Phnom Penh
Q3808,Yaoundé
Q1930,Ottawa
Q3751,Praia
Q3832,Bangui
Q3659,N'Djamena
Q2887,Santiago
Q2841,Bogotá
Q3901,Moroni
Q3070,San José
Q1435,Zagreb
Q1563,Havana
Q1085,Prague
Q3838,Kinshasa
Q1748,Copenhagen
Q3604,Djibouti
Q36281,Roseau
Q34820,Santo Domingo
Q9310,Dili
Q2900,Quito
Q85,Cairo
Q3110,San Salvador
Q3818,Malabo
Q3642,Asmara
Q1770,Tallinn
Q3904,Mbabane
Q101418,Lobamba
Q3624,Addis Ababa
Q42751,Palikir
Q38807,Suva
Q1757,Helsinki
Q90,Paris
Q3825,Libreville
Q3726,Banjul
Q994,Tbilisi
Q64,Berlin
Q3761,Accra
Q1524,Athens
Q41547,St. George's
Q1555,Guatemala City
Q3733,Conakry
Q3739,Bissau
Q10717,Georgetown
Q34261,Port-au-Prince
Q3238,Tegucigalpa
Q1781,Budapest
Q1764,Reykjavík
Q987,New Delhi
Q3630,Jakarta
Q3616,Tehran
Q1530,Baghdad
Q1761,Dublin
Q1218,Jerusalem
Q220,Rome
Q3768,Yamoussoukro
Q34692,Kingston
Q1490,Tokyo
Q3805,Amman
Q1520,Nur-Sultan
Q3870,Nairobi
Q1748,Copenhagen
Q727,Amsterdam
Q131233,South Tarawa
Q35178,Kuwait city
Q9361,Bishkek
Q9326,Vientiane
Q1773,Riga
Q3820,Beirut
Q3909,Maseru
Q3748,Monrovia
Q3579,Tripoli
Q1844,Vaduz
Q216,Vilnius
Q1842,Luxembourg
Q3915,Antananarivo
Q3876,Lilongwe
Q1865,Kuala Lumpur
Q9347,Malé
Q3703,Bamako
Q23800,Valletta
Q12919,Majuro
Q3688,Nouakchott
Q3929,Port Louis
Q1489,Mexico City
Q21197,Chișinău
Q55115,Monaco-Ville
Q23430,Ulaanbaatar
Q23564,Podgorica
Q3551,Rabat
Q3889,Maputo
Q37400,Naypyidaw
Q3935,Windhoek
Q31026,Yaren District
Q3037,Kathmandu
Q23661,Wellington
Q3274,Managua
Q3674,Niamey
Q3787,Abuja
Q18808,Pyongyang
Q384,Skopje
Q585,Oslo
Q3826,Muscat
Q1362,Islamabad
Q515229,Ngerulmud
Q3306,Panama City
Q36526,Port Moresby
Q2933,Asunción
Q956,Beijing
Q2868,Lima
Q1461,Manila
Q270,Warsaw
Q597,Lisbon
Q3861,Doha
Q3856,Nicosia
Q3844,Brazzaville
Q19660,Bucharest
Q649,Moscow
Q3859,Kigali
Q41295,Basseterre
Q41699,Castries
Q41474,Kingstown
Q36260,Apia
Q1848,San Marino
Q3692,Riyadh
Q3718,Dakar
Q3711,Belgrade
Q3940,Victoria
Q3780,Freetown
Q334,Singapore
Q1780,Bratislava
Q437,Ljubljana
Q40921,Honiara
Q2449,Mogadishu
Q3926,Pretoria
Q5465,Cape Town
Q37701,Bloemfontein
Q8684,Seoul
Q1947,Juba
Q2807,Madrid
Q35381,Colombo
Q41963,Sri Jayawardenepura Kotte
Q1963,Khartoum
Q3001,Paramaribo
Q1754,Stockholm
Q70,Bern
Q3766,Damascus
Q3932,São Tomé
Q9365,Dushanbe
Q3866,Dodoma
Q1861,Bangkok
Q3792,Lomé
Q38834,Nuku'alofa
Q39178,Port of Spain
Q3572,Tunis
Q3640,Ankara
Q23438,Ashgabat
Q34126,Funafuti
Q3894,Kampala
Q1899,Kyiv
Q1519,Abu Dhabi
Q84,London
Q61,"Washington, D.C."
Q1335,Montevideo
Q269,Tashkent
Q37806,Port Vila
Q1533,Caracas
Q1858,Hanoi
Q2471,Sana'a
Q131694,Aden
Q3881,Lusaka
Q3921,Harare