Value,teams,weight,dob,correct_uris
Virat Kohli,royal challengers bangalore,152,5/11/88,Q213854
Tendulkar,mumbai indians,137,24/04/1973,Q9488
Dhoni,chennai super kings,154,7/7/81,Q470774
Jasprit Bumrah,mumbai indians,154,6/12/93,Q16227998
Ajinkya Rahane, rajasthan royals,134,6/6/88,Q137669
Rohit Sharma,mumbai indians,159,30/04/1987,Q3520045
Bhuvneshwar Kumar,deccan chargers,154,5/2/90,Q2003153
Ravindra Jadeja,chennai super kings,132,6/12/88,Q2721457
Rishabh Pant,delhi capitals,136,4/8/97,Q21622311
Shikhar Dhawan,delhi capitals,157,5/12/85,Q7487024
Cheteshwar Pujara,deccan chargers,157,25/01/1988,Q142613
Ishant Sharma,delhi capitals,168,2/9/88,Q3522062
Mohammad Shami,kings XI punjab,152,3/9/90,Q7487531