Value,correct_uris
London,Q84
California,Q99
British Columbia,Q1974
New York,Q1384
Kinderhook,Q3710663
West Germany,Q713750
Arizona,Q816
"Woodland Hills, California",Q1337818
Southampton,Q79848
"Santa Catalina Island, California",Q845229
"Los Angeles County, California",Q104994
Hollywood,Q34006
Manhattan,Q11299
Mumbai,Q1156
Dutch East Indies,Q188161
United States,Q30
Berkshire,Q23220
Chennai,Q1352
"Venice, Los Angeles",Q773853
"Fort Lauderdale, Florida",Q165972
Channel Islands,Q42314
"Gold Coast, Queensland",Q140075
Spain,Q29
Surrey,Q23276
Kowloon Tong,Q15278
Falsterbo,Q972113
"Northwood, London",Q2090609
East Berlin,Q56037
Honolulu,Q18094
Thiruvananthapuram,Q167715
Kochi,Q1800
British India,Q129286
Mexico,Q96
"Jensen Beach, Florida",Q2375999
"Austin, Texas",Q16559